PANGOLIN_NOM,MONTH,ANTALL,PROSENT,SPVFLAGG
JG.3,September,7,4.2,0
JG.3,Oktober,22,17.5,0
HK.3,September,19,11.5,0
HK.3,Oktober,13,10.3,0
EG.5.1.1,September,19,11.5,0
EG.5.1.1,Oktober,11,8.7,0
EG.5.1.3,September,10,6.1,0
EG.5.1.3,Oktober,7,5.6,0
EG.5.1,September,17,10.3,0
EG.5.1,Oktober,6,4.8,0
FL.1.5.1,September,3,1.8,0
FL.1.5.1,Oktober,6,4.8,0
HV.1,September,6,3.6,0
HV.1,Oktober,6,4.8,0
JD.1.1,September,1,0.6,0
JD.1.1,Oktober,6,4.8,0
XBB.1.16.11,September,3,1.8,0
XBB.1.16.11,Oktober,5,4.0,0
GK.1,September,1,0.6,0
GK.1,Oktober,3,2.4,0
