PANGO_SHORT,ANTALL,CATEGORY,SPVFLAGG
BA.2.86,0,2023-jul,1
BA.2.86,0,2023-aug,1
BA.2.86,4,2023-sep,0
BA.2.86,5,2023-okt,0
DV.7.1,1,2023-jul,0
DV.7.1,1,2023-aug,0
DV.7.1,1,2023-sep,0
DV.7.1,0,2023-okt,1
XBB.1.16,23,2023-jul,0
XBB.1.16,32,2023-aug,0
XBB.1.16,25,2023-sep,0
XBB.1.16,8,2023-okt,0
XBB.1.5-like+L455F+F456L,1,2023-jul,0
XBB.1.5-like+L455F+F456L,9,2023-aug,0
XBB.1.5-like+L455F+F456L,38,2023-sep,0
XBB.1.5-like+L455F+F456L,51,2023-okt,0
BA.2.86,9,TOTAL_OBS,0
DV.7.1,3,TOTAL_OBS,0
XBB.1.16,171,TOTAL_OBS,0
XBB.1.5-like+L455F+F456L,100,TOTAL_OBS,0
